Z29177127,CC(C)C(=O)NC=1C=CC=C(C1)C(=O)N
Z839988838,CC1=NNC(C)=C1CNC2CCCCC2
Z26552420,O=C(NC=1C=CC(=CC1)N2C=NN=N2)C3CCC3
Z729726784,CC1=NOC(NC(=O)CC2CCCC2)=N1
Z33545544,NC(=O)C1CCN(CC1)C(=O)NC=2C=CC=CC2
Z86417414,FC=1C=CC=CC1C(=O)NC2=NN=CS2
Z44095027,OC=1C=CC(CN2CCCC2)=C3C=CC=NC13
Z27682767,CCC(=O)NC=1C=CC(=CC1)S(=O)(=O)N
Z166605480,Cl.CNC(C)C=1C=CC(F)=CC1
Z328695024,CC(C)N(C)C=1N=CN=C2N(C)N=CC12
Z94597856,CN(C)S(=O)(=O)C=1C(C)=NNC1C
Z31432009,CC(NC(=O)C)C(=O)N1CCCCCC1
Z212045094,CS(=O)(=O)NC1CCNCC1
Z729024430,CCN(CC)C(=O)C=1C=CN=C(C)N1
Z741055844,O=C(N1CCOCC1)C2=CSN=N2
Z19727416,CC(OC=1C=CC(Cl)=CC1)C(=O)N
Z19733979,CC=1C=CC=CC1OCC(=O)NC=2C=CC=CC2
Z28143241,FC=1C=CC=C(NC(=O)C=2C=NC=CN2)C1
Z44586802,CCOC=1C=CC(NC(=O)NC(C)(C)C)=CC1
Z32399948,NC(=O)C1CCN(CC1)C(=O)C2CCCCC2
Z57479285,C1=NN=NN1C=2C=CC(=CC2)C=3C=CC=CC3
Z31479594,CC(C)C(NC(=O)C)C(=O)N1CCCC1
Z32386228,COC=1C=CC(Cl)=CC1C(=O)NCC(C)C
Z44586758,FC=1C=CC(NC(=O)NC=2C=CC(F)=CC2)=CC1
Z1688504114,CC1=NN(C)C(C)=C1NC(=O)CC#N
Z19731563,CC1=CC(NC(=O)COC=2C=CC(C)=CC2)=NO1
Z1470732342,OC=1C=CC=CC1CN2CCOCC2
Z256709358,OC(=O)CC=1C=CC(=CC1)C=2C=CC=CC2
Z394039592,CC1(C)CN(CCO1)C(=O)CC(F)(F)F
Z374427992,CN(C)C=1C=C(CNC(=O)C)C=CN1
Z27805986,FC=1C=CC(CC(=O)NC=2C=CC(F)=CC2)=CC1
Z340495298,CC(C)N(C1CC1)C(=O)C=2C=C(C)ON2
Z32665176,CC1CCN(CC1)C(=O)C2=CC=3C=CC=CC3O2
Z287121492,COC1CCN(CC1)C(=O)NCC2CC2
Z57515803,ClC=1C=CC(COC(=O)C=2C=CC=NC2)=CC1
Z793778804,CCOC(=O)CN1CCS(=O)(=O)CC1
Z354992234,CC1CN(CC=2N=NSC2Cl)C(C)CO1
Z27797417,COC=1C=CC=CC1NC(=O)C2=CC=C(C)S2
Z285675722,CC=1C=C(C)N=C(NC=2C=CC=CC2)N1
Z68299550,CC(C)(CO)NC(=O)C=1C=CC=C(Cl)C1
Z19751622,O=C(CSC=1C=CC=CC1)NC2CCCCC2
Z256709556,CC=1C=CSC1C(=O)O
Z26794338,O=C(NC=1C=CC=2NC(=O)NC2C1)C3=CC=CO3
Z256709226,COC=1C=C(C=C(OC)C1OC)C(=O)O
